YearMonth;MedTemp
2008-07-01;6.0
2008-08-01;8.135886440928582
2008-09-01;9.686012124796688
2008-10-01;13.867070826556262
2008-11-01;14.884001182906994
2008-12-01;15.528315836167383
2009-01-01;20.305781457932873
2009-02-01;17.806151116368476
2009-03-01;16.493124353097738
2009-04-01;12.986322637882598
2009-05-01;11.844299866922963
2009-06-01;7.288703238207896
2009-07-01;7.934052935087978
2009-08-01;10.240721573266303
2009-09-01;11.288037853023805
2009-10-01;11.218837793878457
2009-11-01;17.540292769481
2009-12-01;16.68165015525654
2010-01-01;19.059293213071125
2010-02-01;19.402283432965085
2010-03-01;18.39169007836759
2010-04-01;15.438636699689487
2010-05-01;10.76415791808369
2010-06-01;8.093153925772587
2010-07-01;8.563950909359754
2010-08-01;8.186899305042141
2010-09-01;10.307112228301053
2010-10-01;13.904775986988025
2010-11-01;14.272068608605649
2010-12-01;17.16516338902854
2011-01-01;19.31435753363892
2011-02-01;18.1965896368898
2011-03-01;15.25328996007689
2011-05-01;10.55567056040219
2011-06-01;7.953349105426586
2011-07-01;7.1289368623391995
2011-08-01;10.699837350288336
2011-09-01;12.110823598994527
2011-10-01;12.598403075558185
2011-11-01;16.969614076593228
2011-12-01;17.30711222830105
2012-01-01;20.909064024841047
2012-02-01;18.474748504795365
2012-03-01;16.14490610675736
2012-04-01;15.021514120952242
2012-05-01;10.941593967174331
2012-06-01;8.329217802750259
2012-07-01;7.450539701315984
2012-08-01;8.93213071122283
2012-09-01;10.66464586721869
2012-10-01;12.651633890285378
2012-11-01;15.883261866035786
2013-01-01;20.197101877864853
2013-03-01;19.303267780570753
2013-04-01;13.408028981221353
2013-05-01;10.979299127606094
2013-06-01;8.980112376164424
2013-07-01;9.568682537335501
2013-08-01;8.75469466213219
2013-09-01;12.605870175957417
2013-10-01;12.534082507762829
2013-11-01;13.444699098033416
2013-12-01;16.524175661688602
2014-01-01;19.997486322637883
2014-02-01;20.330495764770497
2014-03-01;18.9772290403667
2014-04-01;13.999334614815911
2014-05-01;12.243530977376906
2014-06-01;9.039701315984031
2014-07-01;7.83868105870176
2014-08-01;9.806003252994234
2014-09-01;12.84880969983735
2014-10-01;12.817980186307851
2014-11-01;15.269037409433686
2014-12-01;17.979151264231852
2015-01-01;18.3384592636404
2015-02-01;19.569263429162884
2015-03-01;16.524175661688602
2015-04-01;13.740351914830697
2015-05-01;10.943811917787965
2015-06-01;8.258169451426882
2015-07-01;7.3662575779979305
2015-08-01;6.467987579476564
2015-09-01;11.71432796096407
2015-10-01;14.776430578145794
2015-11-01;16.376016560697913
2015-12-01;15.426290107940263
2016-01-01;21.0
2016-02-01;19.304567958516678
2016-03-01;18.21425402927695
2016-04-01;16.55019961555523
2016-05-01;11.507171373650745
2016-06-01;8.244418157622357
2016-07-01;9.375720833949428
2016-08-01;9.333579772290406
2016-09-01;12.977155108679582
2016-10-01;13.073044506875647
2016-11-01;15.759500221795063
2016-12-01;15.81443146532604
2017-01-01;20.93346148159101
2017-02-01;18.970099913394314
2017-03-01;19.301049829957122
2017-04-01;14.686899305042141
2017-05-01;10.611119325743013
2017-06-01;10.570220316427621
